FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START E:\Class Materials\2022 Fall\Eng Phys 2CD4\Topic 2\Final version\Topic-2-2CD4-Group\New folder\group lab 2cd4 flex.pde  19:15:20 10/4/22
Using 1 Thread(s)
 +00:00:00| STEP FAILED. RETRY at Dt= 1.000e-4
 +00:00:00| Step 63 Time= 0.032864 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 4.033e-7 MAX ERR= 4.033e-7 TIME ERR= 0.001167 MEM=712
 +00:00:00| Step 64 Time= 0.033581 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 3.543e-7 MAX ERR= 3.543e-7 TIME ERR= 0.001222 MEM=712
 +00:00:00| Step 65 Time= 0.034297 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.710e-7 MAX ERR= 2.710e-7 TIME ERR= 0.001245 MEM=713
 +00:00:00| Step 66 Time= 0.035013 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 1.888e-7 MAX ERR= 1.888e-7 TIME ERR= 0.001254 MEM=716
 +00:00:00| Step 67 Time= 0.035730 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 1.097e-7 MAX ERR= 1.097e-7 TIME ERR= 0.001255 MEM=716
 +00:00:00| Step 68 Time= 0.036446 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 3.568e-8 MAX ERR= 3.568e-8 TIME ERR= 0.001251 MEM=716
 +00:00:00| Step 69 Time= 0.037163 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 3.189e-8 MAX ERR= 3.189e-8 TIME ERR= 0.001241 MEM=716
 +00:00:00| Step 70 Time= 0.037879 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 9.199e-8 MAX ERR= 9.199e-8 TIME ERR= 0.001228 MEM=716
 +00:00:00| Step 71 Time= 0.038596 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 1.439e-7 MAX ERR= 1.439e-7 TIME ERR= 0.001210 MEM=716
 +00:00:00| Step 72 Time= 0.039312 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 1.874e-7 MAX ERR= 1.874e-7 TIME ERR= 0.001209 MEM=716
 +00:00:00| Step 73 Time= 0.040028 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.224e-7 MAX ERR= 2.224e-7 TIME ERR= 0.001368 MEM=716
 +00:00:00| Step 74 Time= 0.040745 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.491e-7 MAX ERR= 2.491e-7 TIME ERR= 0.001508 MEM=716
 +00:00:00| Step 75 Time= 0.041461 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.680e-7 MAX ERR= 2.680e-7 TIME ERR= 0.001629 MEM=716
 +00:00:00| Step 76 Time= 0.042178 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.798e-7 MAX ERR= 2.798e-7 TIME ERR= 0.001730 MEM=716
 +00:00:00| Step 77 Time= 0.042894 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.851e-7 MAX ERR= 2.851e-7 TIME ERR= 0.001813 MEM=716
 +00:00:00| Step 78 Time= 0.043611 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.848e-7 MAX ERR= 2.848e-7 TIME ERR= 0.001878 MEM=716
 +00:00:00| Step 79 Time= 0.044327 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.798e-7 MAX ERR= 2.798e-7 TIME ERR= 0.001927 MEM=716
 +00:00:00| Step 80 Time= 0.045043 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.708e-7 MAX ERR= 2.708e-7 TIME ERR= 0.001960 MEM=716
 +00:00:00| Step 81 Time= 0.045760 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.587e-7 MAX ERR= 2.587e-7 TIME ERR= 0.001979 MEM=716
 +00:00:00| Step 82 Time= 0.046476 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.443e-7 MAX ERR= 2.443e-7 TIME ERR= 0.001985 MEM=716
 +00:00:00| Step 83 Time= 0.047193 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.282e-7 MAX ERR= 2.282e-7 TIME ERR= 0.001979 MEM=716
 +00:00:00| Step 84 Time= 0.047909 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 2.111e-7 MAX ERR= 2.111e-7 TIME ERR= 0.001962 MEM=716
 +00:00:00| Step 85 Time= 0.048626 Dt= 7.164e-4 Nodes=5 Cells=2 RMS ERR= 1.935e-7 MAX ERR= 1.935e-7 TIME ERR= 0.001936 MEM=716
